n,sin,cos,tan,sec,csc,cot
1,0.8414709848078965,0.5403023058681398,1.557407724654902,1.8508157176809255,1.1883951057781212,0.6420926159343308
2,0.9092974268256817,-0.4161468365471424,-2.185039863261519,-2.402997961722381,1.0997501702946164,-0.45765755436028577
3,0.1411200080598672,-0.9899924966004454,-0.1425465430742778,-1.0101086659079939,7.086167395737187,-7.015252551434534
4,-0.7568024953079282,-0.6536436208636119,1.1578212823495775,-1.5298856564663974,-1.3213487088109024,0.8636911544506167
5,-0.9589242746631385,0.28366218546322625,-3.380515006246586,3.5253200858160887,-1.0428352127714058,-0.2958129155327455
6,-0.27941549819892586,0.960170286650366,-0.29100619138474915,1.0414819265951076,-3.5788995472544056,-3.436353004180128
7,0.6569865987187891,0.7539022543433046,0.8714479827243188,1.3264319004737049,1.5221010625637303,1.1475154224051356
8,0.9893582466233818,-0.14550003380861354,-6.799711455220378,-6.87285063669037,1.010756218400097,-0.1470650639494805
9,0.4121184852417566,-0.9111302618846769,-0.4523156594418099,-1.097537906304962,2.426486643551989,-2.2108454109991946
10,-0.5440211108893698,-0.8390715290764524,0.6483608274590866,-1.1917935066878957,-1.8381639608896658,1.54235104535692
11,-0.9999902065507035,0.004425697988050785,-225.95084645419516,225.95305931402496,-1.000009793545209,-0.0044257413313241135
12,-0.5365729180004349,0.8438539587324921,-0.6358599286615807,1.185039176093985,-1.8636795977824385,-1.5726734063976895
13,0.4201670368266409,0.9074467814501962,0.4630211329364896,1.1019929988642352,2.3800058366134884,2.159728636267592
14,0.9906073556948704,0.1367372182078336,7.244606616094805,7.313297821227071,1.0094817025647271,0.1380337198404085
15,0.6502878401571168,-0.7596879128588213,-0.8559934009085187,-1.316330012724367,1.5377805615408537,-1.1682333052318374
16,-0.2879033166650653,-0.9576594803233847,0.3006322420239034,-1.044212499898521,-3.4733882595849295,3.326323195635449
17,-0.9613974918795568,-0.27516333805159693,3.4939156454748397,-3.634205076449851,-1.0401524951401468,0.28621183264546024
18,-0.750987246771676,0.6603167082440802,-1.1373137123376869,1.5144248017882336,-1.3315805352205026,-0.8792648757786927
19,0.14987720966295234,0.9887046181866692,0.15158947061240008,1.01142442505634,6.672128486037505,6.596764247280111
20,0.9129452507276277,0.40808206181339196,2.2371609442247427,2.4504875209567056,1.0953559364080034,0.44699510894891664
21,0.8366556385360561,-0.5477292602242684,-1.5274985276366035,-1.8257195162269564,1.1952348779358697,-0.6546651154860575
22,-0.008851309290403876,-0.9999608263946371,0.00885165604168446,-1.0000391751399944,-112.97763609776322,112.9732103564319
23,-0.8462204041751706,-0.5328330203333975,1.588153083391274,-1.876760564452805,-1.181725227926549,0.6296622224002757
24,-0.9055783620066239,0.424179007336997,-2.1348966977217008,2.357495261913165,-1.104266667529635,-0.46840673886805423
25,-0.13235175009777303,0.9912028118634736,-0.13352640702153587,1.0088752655170414,-7.555623550585948,-7.489155308722674
26,0.7625584504796027,0.6469193223286404,1.1787535542062797,1.5457878061215053,1.3113748846020408,0.8483537516655512
27,0.956375928404503,-0.2921388087338362,-3.2737038004281196,-3.423030320189629,1.0456139372602924,-0.305464410026718
